match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,country_name,competition_name,season_id,season_name,home_team_id,home_team_name,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,home_team_managers_id,home_team_managers_name,home_team_managers_nickname,home_team_managers_dob,home_team_managers_country_id,home_team_managers_country_name,away_team_id,away_team_name,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,away_team_managers_id,away_team_managers_name,away_team_managers_nickname,away_team_managers_dob,away_team_managers_country_id,away_team_managers_country_name,metadata_data_version,metadata_shot_fidelity_version,metadata_xy_fidelity_version,competition_stage_id,competition_stage_name,stadium_id,stadium_name,stadium_country_id,stadium_country_name,referee_id,referee_name,referee_country_id,referee_country_name
3904629,2023-08-16,2023-08-16 13:00:00,1,3,available,available,2023-08-30 11:15:11.306289,2023-08-30 11:17:47.551826,6,72,International,Women's World Cup,107,2023,1205,Australia Women's,female,,14,Australia,408,Tony Gustavsson,Tony Gustavsson,1973-08-14,220,Sweden,865,England Women's,female,,68,England,45,Sarina Glotzbach-Wiegman,Sarina Wiegman,1969-10-26,160,Netherlands,1.1.0,2,2,15,Semi-finals,117593,Accor Stadium,14,Australia,1171.0,Tori Penso,241.0,United States of America
3906390,2023-08-20,2023-08-20 13:00:00,1,0,available,available,2023-08-22 19:29:29.948278,2023-08-22 19:38:43.965521,7,72,International,Women's World Cup,107,2023,863,Spain Women's,female,,214,Spain,418,Jorge Vilda,Jorge Vilda,1981-07-07,214,Spain,865,England Women's,female,,68,England,45,Sarina Glotzbach-Wiegman,Sarina Wiegman,1969-10-26,160,Netherlands,1.1.0,2,2,26,Final,117593,Accor Stadium,14,Australia,1171.0,Tori Penso,241.0,United States of America
3906389,2023-08-19,2023-08-19 11:00:00,2,0,available,available,2023-08-29 21:16:28.091391,2023-08-29 21:19:57.035390,7,72,International,Women's World Cup,107,2023,858,Sweden Women's,female,,220,Sweden,3016,Peter Gerhardsson,Peter Gerhardsson,1959-08-22,220,Sweden,1205,Australia Women's,female,,14,Australia,408,Tony Gustavsson,Tony Gustavsson,1973-08-14,220,Sweden,1.1.0,2,2,25,3rd Place Final,28884,Brisbane Stadium,14,Australia,833.0,Cheryl Foster,249.0,Wales
3904628,2023-08-15,2023-08-15 11:00:00,2,1,available,available,2023-08-16 03:41:23.763496,2023-08-16 11:30:31.556462,6,72,International,Women's World Cup,107,2023,863,Spain Women's,female,,214,Spain,418,Jorge Vilda,Jorge Vilda,1981-07-07,214,Spain,858,Sweden Women's,female,,220,Sweden,3016,Peter Gerhardsson,Peter Gerhardsson,1959-08-22,220,Sweden,1.1.0,2,2,15,Semi-finals,28892,Eden Park,163,New Zealand,2426.0,Edina Alves Batista,31.0,Brazil
3893806,2023-07-26,2023-07-26 10:30:00,5,0,available,available,2023-08-15 02:56:48.548242,2023-08-15 02:58:57.266594,2,72,International,Women's World Cup,107,2023,863,Spain Women's,female,,214,Spain,418,Jorge Vilda,Jorge Vilda,1981-07-07,214,Spain,6045,Zambia Women's,female,,253,Zambia,1000425,Bruce Mwape,Bruce Mwape,,253,Zambia,1.1.0,2,2,10,Group Stage,28892,Eden Park,163,New Zealand,1006261.0,Hyeon-Jeong Oh,121.0,Korea (South)
3893801,2023-07-24,2023-07-24 14:00:00,4,0,available,available,2023-08-15 03:16:13.146076,2023-08-15 03:18:08.766850,1,72,International,Women's World Cup,107,2023,1203,Brazil Women's,female,,31,Brazil,177,Pia Mariane Sundhage,Pia Sundhage,1960-02-13,220,Sweden,16803,Panama Women's,female,,176,Panama,1003446,Ignacio Quintana Toledo,Ignacio Quintana Toledo,1988-04-20,147,Mexico,1.1.0,2,2,10,Group Stage,28889,Coopers Stadium,14,Australia,833.0,Cheryl Foster,249.0,Wales
3893797,2023-07-23,2023-07-23 10:30:00,1,0,available,available,2023-08-15 02:38:46.816155,2023-08-15 02:40:19.749196,1,72,International,Women's World Cup,107,2023,851,Netherlands Women's,female,,160,Netherlands,46,Andries Jonker,Andries Jonker,1962-09-22,160,Netherlands,864,Portugal Women's,female,,183,Portugal,419,Francisco Miguel Conceição Roque Neto,Francisco Neto,1981-07-11,183,Portugal,1.1.0,2,2,10,Group Stage,1001341,Forsyth Barr,163,New Zealand,,,,
3893822,2023-07-31,2023-07-31 10:00:00,4,0,available,available,2023-08-15 03:17:41.945052,2023-08-15 03:20:22.749909,3,72,International,Women's World Cup,107,2023,1210,Japan Women's,female,,114,Japan,1003258,Futoshi Ikeda,Futoshi Ikeda,1970-10-04,114,Japan,863,Spain Women's,female,,214,Spain,418,Jorge Vilda,Jorge Vilda,1981-07-07,214,Spain,1.1.0,2,2,10,Group Stage,98115,Wellington Regional Stadium,14,Australia,751.0,Katja Koroleva,241.0,United States of America
3893814,2023-07-29,2023-07-29 10:30:00,5,0,available,available,2023-08-15 02:40:01.211524,2023-08-15 02:40:42.886046,2,72,International,Women's World Cup,107,2023,858,Sweden Women's,female,,220,Sweden,3016,Peter Gerhardsson,Peter Gerhardsson,1959-08-22,220,Sweden,855,Italy Women's,female,,112,Italy,4085,Milena Bertolini,Milena Bertolini,1966-06-24,112,Italy,1.1.0,2,2,10,Group Stage,98115,Wellington Regional Stadium,14,Australia,833.0,Cheryl Foster,249.0,Wales
3893790,2023-07-21,2023-07-21 05:30:00,0,0,available,available,2023-08-15 01:27:08.890984,2023-08-15 01:27:44.637065,1,72,International,Women's World Cup,107,2023,1213,Nigeria Women's,female,,166,Nigeria,1003417,Randy Marlon Waldrum,Randy Marlon Waldrum,1956-09-25,241,United States of America,1206,Canada Women's,female,,40,Canada,1000081,Beverly Priestman,Beverly Priestman,1986-04-29,68,England,1.1.0,2,2,10,Group Stage,28886,AAMI Park,14,Australia,965.0,Lina Lehtovaara,77.0,Finland
